tag,patterns,responses
saludo cordial,Hola,¡Hola!
saludo cordial,Hola,¡Qué bueno verte!
saludo cordial,Hola,"Hola, ¿cómo puedo ayudar?"
saludo cordial,¿Cómo estás?,¡Hola!
saludo cordial,¿Cómo estás?,¡Qué bueno verte!
saludo cordial,¿Cómo estás?,"Hola, ¿cómo puedo ayudar?"
saludo cordial,¿Hay alguien ahí?,¡Hola!
saludo cordial,¿Hay alguien ahí?,¡Qué bueno verte!
saludo cordial,¿Hay alguien ahí?,"Hola, ¿cómo puedo ayudar?"
saludo cordial,Buen día,¡Hola!
saludo cordial,Buen día,¡Qué bueno verte!
saludo cordial,Buen día,"Hola, ¿cómo puedo ayudar?"
saludo cordial,Cómo estás?,¡Hola!
saludo cordial,Cómo estás?,¡Qué bueno verte!
saludo cordial,Cómo estás?,"Hola, ¿cómo puedo ayudar?"
saludo cordial,Hey,¡Hola!
saludo cordial,Hey,¡Qué bueno verte!
saludo cordial,Hey,"Hola, ¿cómo puedo ayudar?"
saludo cordial,Qué pasa?,¡Hola!
saludo cordial,Qué pasa?,¡Qué bueno verte!
saludo cordial,Qué pasa?,"Hola, ¿cómo puedo ayudar?"
saludo barrio,Qué pedo puto?,Qué onda güey!
saludo barrio,Qué pedo puto?,Cállese y hable bien
saludo barrio,Qué pedo puto?,Qué chingados ocupa
saludo barrio,Qué onda?,Qué onda güey!
saludo barrio,Qué onda?,Cállese y hable bien
saludo barrio,Qué onda?,Qué chingados ocupa
saludo barrio,Contesta perro?,Qué onda güey!
saludo barrio,Contesta perro?,Cállese y hable bien
saludo barrio,Contesta perro?,Qué chingados ocupa
saludo barrio,Contesta hijo de perra,Qué onda güey!
saludo barrio,Contesta hijo de perra,Cállese y hable bien
saludo barrio,Contesta hijo de perra,Qué chingados ocupa
adiós,Nos vemos,Triste de verte partir :(
adiós,Nos vemos,Hablaré contigo más tarde
adiós,Nos vemos,¡Adiós!
adiós,Nos vemos,Vuelve pronto
adiós,Adiós,Triste de verte partir :(
adiós,Adiós,Hablaré contigo más tarde
adiós,Adiós,¡Adiós!
adiós,Adiós,Vuelve pronto
adiós,Hasta luego,Triste de verte partir :(
adiós,Hasta luego,Hablaré contigo más tarde
adiós,Hasta luego,¡Adiós!
adiós,Hasta luego,Vuelve pronto
adiós,Me voy,Triste de verte partir :(
adiós,Me voy,Hablaré contigo más tarde
adiós,Me voy,¡Adiós!
adiós,Me voy,Vuelve pronto
adiós,Que tenga un buen día,Triste de verte partir :(
adiós,Que tenga un buen día,Hablaré contigo más tarde
adiós,Que tenga un buen día,¡Adiós!
adiós,Que tenga un buen día,Vuelve pronto
adiós,Hablaré contigo más tarde,Triste de verte partir :(
adiós,Hablaré contigo más tarde,Hablaré contigo más tarde
adiós,Hablaré contigo más tarde,¡Adiós!
adiós,Hablaré contigo más tarde,Vuelve pronto
adiós,Tengo que irme,Triste de verte partir :(
adiós,Tengo que irme,Hablaré contigo más tarde
adiós,Tengo que irme,¡Adiós!
adiós,Tengo que irme,Vuelve pronto
creator,¿Cuál es el nombre de sus desarrolladores?,Mi creador es el Lord Morales
creator,¿Cuál es el nombre de tus creadores?,Mi creador es el Lord Morales
creator,¿Cuál es el nombre de los desarrolladores?,Mi creador es el Lord Morales
creator,¿Cuál es el nombre de los creadores?,Mi creador es el Lord Morales
creator,tus desarrolladores,Mi creador es el Lord Morales
creator,Tus creadores,Mi creador es el Lord Morales
creator,¿Quiénes son tus desarrolladores?,Mi creador es el Lord Morales
creator,Estás hecho por?,Mi creador es el Lord Morales
creator,Estás hecho por quién?,Mi creador es el Lord Morales
creator,Quien te creó?,Mi creador es el Lord Morales
creator,quien te crea?,Mi creador es el Lord Morales
creator,quien te hizo?,Mi creador es el Lord Morales
creator,quien te diseñó?,Mi creador es el Lord Morales
name,Su nombre,Puedes llamarme tu Asistente de Viajes Personal
name,Su nombre,Soy un asistente de viajes
name,Su nombre,Soy un chatbot
name,Su nombre,Yo soy tu asistente de viajes
name,Tienes un nombre?,Puedes llamarme tu Asistente de Viajes Personal
name,Tienes un nombre?,Soy un asistente de viajes
name,Tienes un nombre?,Soy un chatbot
name,Tienes un nombre?,Yo soy tu asistente de viajes
name,Como te llaman?,Puedes llamarme tu Asistente de Viajes Personal
name,Como te llaman?,Soy un asistente de viajes
name,Como te llaman?,Soy un chatbot
name,Como te llaman?,Yo soy tu asistente de viajes
name,cómo te llamas?,Puedes llamarme tu Asistente de Viajes Personal
name,cómo te llamas?,Soy un asistente de viajes
name,cómo te llamas?,Soy un chatbot
name,cómo te llamas?,Yo soy tu asistente de viajes
name,como deberia llamarte?,Puedes llamarme tu Asistente de Viajes Personal
name,como deberia llamarte?,Soy un asistente de viajes
name,como deberia llamarte?,Soy un chatbot
name,como deberia llamarte?,Yo soy tu asistente de viajes
